,Intensity
-7.86E-05,-0.22368627
2.18E-07,-0.37270588
9.60E-05,0.01945098
0.00036601,-0.4825098
0.0008102,0.011607843
0.00142856,0.61552941
0.00222112,-1.9491765
0.00318787,-2.1217255
0.00432881,-3.235451
0.00564393,-3.980549
0.00713324,-4.0511373
0.00879674,-3.862902
0.01063443,-4.0825098
0.01264631,-4.0562358
0.01483238,-3.9356066
0.01719263,-0.47356319
0.01972708,4.6514629
0.02243571,9.5571188
0.02531853,6.3061495
0.02837554,4.0122806
0.03160674,7.6088454
0.03501213,3.1193734
0.0385917,-4.0443709
0.04234547,-2.3294461
0.04627342,3.5817947
0.05037556,0.59131236
0.05465189,0.40106764
0.05910241,0.31302134
0.06372712,-0.26890499
0.06852602,-2.2780447
0.0734991,-0.97714281
0.07864638,5.5161535
0.08396784,9.3587071
0.08946349,5.7348317
0.09513333,-1.935865
0.10097736,-3.8180887
0.10699557,-3.4883101
0.11318798,-3.6131959
0.11955457,-2.7888244
0.12609535,-0.089705432
0.13281032,-0.58250574
0.13969948,-1.5378135
0.14676283,0.33064573
0.15400037,2.1444407
0.16141209,3.6290614
0.16899801,2.5256845
0.17675811,2.5833296
0.1846924,2.0451338
0.19280088,1.46796
0.20108355,0.091023842
0.20954041,-1.9601845
0.21817145,-1.7444886
0.22697669,0.2283077
0.23595611,1.4327142
0.24510972,0.9589269
0.25443752,1.0736125
0.26393951,2.4983397
0.27361569,0.691932
0.28346605,-1.4279636
0.29349061,-1.7750725
0.30368935,-1.8003752
0.31406228,-2.6019109
0.3246094,-3.0973266
0.33533071,-1.4121125
0.34622621,-0.369798
0.3572959,0.53942077
0.36853977,1.5586811
0.37995783,1.6840614
0.39155009,1.1743852
0.40331653,1.0649466
0.41525716,1.8184907
0.42737197,1.7173706
0.43966098,1.6792331
0.45212418,2.143294
0.46476156,1.6036711
0.47757313,0.64075628
0.49055889,0.093765396
0.50371884,-0.13141923
0.51705298,-0.94460153
0.53056131,-0.92617365
0.54424382,-0.19378265
0.55810053,-0.58272266
0.57213142,-0.58711131
0.5863365,-0.43439959
0.60071577,-0.038312997
0.61526923,0.36585436
0.62999688,0.55849464
0.64489871,1.0337255
0.65997473,0.9292939
0.67522495,1.1071867
0.69064935,0.94779605
0.70624794,0.30994548
0.72202072,0.032850679
0.73796769,-0.48740993
0.75408884,-0.30965986
0.77038419,-0.4378207
0.78685372,-1.2091473
0.80349744,0.38812492
0.82031535,-0.50090588
0.83730745,-1.3429064
0.85447374,0.97584885
0.87181421,-0.51718916
0.88932888,-0.44162826
0.90701773,-0.020997872
0.92488077,0.77607456
0.942918,-0.60727372
0.96112942,0.056408279
0.97951503,0.5867284
0.99807483,0.097412124
1.0168088,0.039439853
1.035717,1.4245763
1.0547993,1.0371352
1.0740559,0.95554783
1.0934866,1.846481
1.1130916,1.9373856
1.1328707,0.77335966
1.152824,1.7034229
1.1729515,1.6609085
1.1932532,0.5987577
1.213729,1.0189313
1.2343791,0.74103719
1.2552033,1.2709576
1.2762018,0.5930064
1.2973744,0.88757564
1.3187212,1.3389791
1.3402422,0.37074611
1.3619374,0.84562186
1.3838068,0.95968475
1.4058504,0.66587596
1.4280681,1.423019
1.4504601,0.79189821
1.4730262,1.0391802
1.4957665,0.90212
1.518681,0.56895278
1.5417697,0.85536485
1.5650326,0.16135622
1.5884697,0.30653473
1.612081,0.090900375
1.6358664,-0.093389977
1.6598261,-0.026728485
1.6839599,0.016375048
1.7082679,0.24768533
1.7327501,-0.007307452
1.7574065,0.23178887
1.7822371,0.43164096
1.8072419,0.1059743
1.8324209,0.32145556
1.857774,0.25455534
1.8833013,0.32880304
1.9090029,0.26184572
1.9348786,0.18701672
1.9609285,0.16706113
1.9871526,-0.033315168
2.0135509,0.072162342
2.0401234,0.099179931
2.06687,0.032051326
2.0937909,0.23940398
2.1208859,0.25064965
2.1481551,0.12853344
2.1755985,0.18678084
2.2032161,0.009705574
2.2310079,0.060052741
2.2589739,0.13390077
